z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,AR
0.0,0.73096876802195931,-1.1876250757244358e-157,300.0,1.3385590540605268,0.15492957745856364,1.9328078269471557e-17,5.4801700686025941e-18,0.14084507042356995,8.1244704738440347e-18,3.1149847184954162e-18,0.0,8.4296074259927538e-19,0.70422535211786652
0.0025000000000000001,0.73096876790839138,-1.7905391502848142e-157,300.00000000001148,1.3385590542684933,0.15492957731869184,0.0,0.0,0.14084507044681879,4.4874591214232214e-21,8.2093886696144121e-18,0.0,0.0,0.70422535223448934
0.0050000000000000001,0.73096876524419596,-1.8648193558397825e-157,300.00000000064796,1.3385590591471888,0.15492957403633653,6.7424495329567757e-21,1.0936532742371177e-17,0.14084507099239615,1.556459096762875e-19,1.16409955114823e-15,3.7465539533306965e-17,1.3268149748254855e-18,0.70422535497126615
0.0074999999999999997,0.73096870277168158,5.8036249057773551e-151,300.0000000352079,1.3385591735473765,0.15492949700967334,4.8285304067961854e-21,3.2317824746732294e-16,0.14084508379538757,3.6996829926605561e-19,8.4187815920488533e-14,3.9246499703688092e-16,1.2893795058361022e-16,0.70422541919485415
0.0087500000000000008,0.73096814617547401,3.5322258164029327e-150,300.00000074380813,1.3385601927919861,0.15492880954022867,1.8767893116971614e-19,7.2009389287465821e-15,0.14084519806278945,9.9458806527976163e-18,2.3719815626876309e-12,1.0211015727314798e-14,4.2609603151350203e-15,0.70422599239458816
0.01,0.73096136380779253,6.4926581468117979e-150,300.00002035198781,1.3385726128583484,0.1549203993859832,5.1517127622655819e-18,1.9769813817128253e-13,0.14084659593837853,2.7307692026551791e-16,8.7202518441212309e-11,3.8685963667194189e-13,1.77943035373894e-13,0.70423300458767302
0.010499999999999999,0.7309375252841287,-4.3296956542442017e-149,300.00017463782092,1.3386162684795153,0.15489058186060878,4.4006711475591668e-17,1.6972062044946866e-12,0.14085155184234066,2.3395974335140125e-15,9.7817342899998529e-10,4.578502338112892e-12,2.2428298895394162e-12,0.70425786531035606
0.010749999999999999,0.73088631379783597,-6.8832937403729126e-149,300.0008691519115,1.3387100619962866,0.1548254280992051,2.162830626744787e-16,8.2640615159852147e-12,0.14086238002132975,1.1512661170489559e-14,6.2464297996523466e-09,3.181312160474572e-11,1.5985341207348615e-11,0.70431218557696107
0.010999999999999999,0.73072532160857073,-9.423981082184938e-149,300.00527063864121,1.3390050038322219,0.15461387490573231,1.3126806494020089e-15,4.8428088995316668e-11,0.14089753175091704,7.2371438089512405e-14,4.9542778339282817e-08,2.7935195997140381e-10,1.4252715814827034e-10,0.70448854333019151
0.011124999999999999,0.73052175428883259,-9.4042837768409271e-149,300.01628688776412,1.339378130551399,0.1543298333756814,4.7620694466395486e-15,1.4553199727602833e-10,0.14094470521528127,3.0085223866625833e-13,1.8839484823728783e-07,1.1557914333342114e-09,5.9531216138926368e-10,0.7047252711172477
0.01125,0.73013158613102569,-9.3833863784644008e-149,300.05676213668329,1.3400938671026446,0.15372662767918355,2.6588939045181799e-14,4.8975012146526113e-10,0.14104478360083603,2.1006588411618064e-12,8.2850919011188974e-07,5.5943025556769074e-09,2.9067717790859952e-09,0.70522775121783876
